	Прайс-лист для консультантов компании АРГО					
	Действителен для консультантов компании АРГО на момент публикации 01.01.2011					
Код	Наименование	Блок, шт.	Цена*, руб.	Очки		Для расчета цен с учетом транспортного коэффициента введите в ячейку расположенную под этой надписью свой транспортный коэффициент в процентах.
	БАД и продукты функционального питания					
0314	Напиток концентрированный "Лактавия с соком облепихи и моркови", 100 г	10	190	14		
0315	Напиток концентрированный "Лактавия с соком черники и аронии", 100 г	10	204	15		
0321	Поликавин, гранулы, 110 г	10	436	32		
0337	Популин, жидкость, 200 мл	8	632	45		
0345	Популин, жидкость, 75 мл	10	351	25		
0323	Простадонт, гранулы, 90 г	10	207	16		
0346	Рейши-Кан, гранулы, 100 г	2	1623	120		
0326	Семена лопуха, капсулы, 190 шт	2	930	70		
0322	Семена солянки холмовой, капсулы, 190 шт	2	589	42		
0342	Танаксол плюс, гранулы, 42 г	14	161	12		
0347	Токсидонт-май, жидкость, 75 мл	8	393	30		
0325	Тонизид, гранулы, 90 г	10	209	16		
0327	Уролизин, гранулы, 120 г	10	248	18		
0328	Флавигран на сорбите, гранулы, 120 г	10	324	25		
0329	Флавигран, гранулы, 120 г	10	324	25		
0344	Флавигран-очанка, гранулы, 120 г	10	262	19		
0330	Флорента напиток, 200 мл	48	187	14		
0331	Флорента спрей, 50 мл	10	131	10		
0332	Ширлайн с лохеином, гранулы, 30 г	14	95	7		
0338	Ширлайн, гранулы, 120 г	10	205	15		
0334	Ширлайн, гранулы, 30 г	14	95	7		
0335	Экорсол, гранулы, 42 г	20	161	12		
0336	Экстракт корня лопуха, жидкость, 75 мл	10	393	30		
0339	Экстракт крапивы, жидкость, 75 мл	10	437	32		
0343	Экстракт подорожника, жидкость, 75 мл	10	409	31		
0306	Эсобел-Арт, капсулы, 90 шт	5	988	70		
	Компания "Nutricare Int."					
0442	L-Аргинин TSN, капсулы, 60 шт	5	510	34		
0421	Nutricare Пау Д'Арко, капсулы, 60 шт	5	494	33		
0401	Акулий хрящ, капсулы, 60 шт	5	554	37		
0435	Антиоксидант, капсулы, 60 шт	5	451	30		
0405	Ацидофилус-Экстра, капсулы, 60 шт	5	494	33		
0406	ВАГ, капсулы, 60 шт	5	494	33		
0408	Гинкго Билоба Плас, таблетки, 60 шт	5	524	35		
0409	Глюкозамин-Плас, таблетки, 60 шт	5	597	40		
0443	Гортензия TSN, капсулы, 60 шт	5	494	33		
0410	Готу Кола, капсулы, 60 шт	5	494	33		
0411	Донг Куэй, таблетки, 60 шт	5	494	33		
0437	Йохимбе, таблетки, 60 шт	5	554	37		
0413	Каль-ди-Маг, таблетки, 60 шт	5	510	34		
0444	Кофермент Q10 TSN, капсулы 60 шт	5	510	34		
0438	Коэнзим Q-10 Нутрикэа, таблетки, 60 шт	5	524	35		
0427	Красный клевер ТSN, капсулы, 60 шт	5	430	29		
0416	Ливер-Плас, капсулы, 60 шт	5	436	29		
0445	Люцерна TSN, капсулы, 60 шт	5	451	30		
0417	Малти-Комплекс, таблетки, 60 шт	5	554	37		
0446	Молозиво TSN, капсулы, 60 шт	5	494	33		
0439	Омега Ойл, капсулы, 60 шт	5	494	33		
0419	Остео Каль с глюкозамином, капсулы, 60 шт	5	524	35		
0420	Пара-Уолнат-Плас, капсулы, 60 шт	5	524	35		
0425	Проста-вита, капсулы, 60 шт	5	554	37		
0426	Пэшн Флауэр, таблетки, 60 шт	5	451	30		
0441	Спирулина TSN, капсулы, 60 шт	5	510	34		
0429	Супер Колон Клинз, капсулы, 60 шт	5	494	33		
