	Прайс-лист для Участников Компании АРГО					
	Действителен на момент публикации 02.07.2012					
Код	Наименование	Блок, шт.	Цена*, руб.	Баллы		Для расчета цен с учетом регионального коэффициента введите в ячейку расположенную под этой надписью свой транспортный коэффициент в процентах.
	БАД и продукты функционального питания					
0348	Масло облепихи с эплиром, 100 мл	4	292	20		
0314	Напиток концентрированный "Лактавия с соком облепихи и моркови", 100 г	10	221	15		
0315	Напиток концентрированный "Лактавия с соком черники и аронии", 100 г	10	237	16		
3507	Напиток чайный гранулированный "Гепатосол", 300 г	1	720	48		
3506	Напиток чайный гранулированный "Гепатосол", 90 г	10	219	15		
3502	Напиток чайный гранулированный "Липроксол", 90 г	10	223	15		
3504	Напиток чайный "Популин", 200 мл	8	754	50		
3501	Напиток чайный гранулированный "Танаксол плюс", 42 г	14	179	12		
3505	Напиток чайный гранулированный "Уролизин", 120 г	10	294	20		
3503	Напиток чайный гранулированный "Экорсол", 42 г	14	179	12		
0333	Напиток чайный травяной "Ахиллан", 100 г	1	149	10		
0340	Напиток чайный травяной "Венорм", 100 г	1	149	10		
0369	Напиток чайный травяной "Витамикс", 100 г	1	149	10		
0349	Напиток чайный травяной "Гепатосол", 100 г	1	149	10		
0356	Напиток чайный травяной "Простадонт", 100 г	1	149	10		
0367	Напиток чайный травяной "Уролизин", 100 г	1	149	10		
0368	Напиток чайный травяной "Флавигран-очанка", 100 г	1	149	10		
0321	Поликавин, гранулы, 110 г	10	517	35		
0337	Популин, жидкость, 200 мл	8	754	50		
0345	Популин, жидкость, 75 мл	10	411	27		
0323	Простадонт, гранулы, 90 г	10	223	15		
0346	Рейши-Кан, гранулы, 100 г	2	1915	130		
0326	Семена лопуха, капсулы, 190 шт	2	1082	74		
0322	Семена солянки холмовой, капсулы, 190 шт	2	686	45		
0342	Танаксол плюс, гранулы, 42 г	14	179	12		
0388	Танаксол, гранулы, 42 г	14	179	12		
0347	Токсидонт-май, жидкость, 75 мл	8	667	45		
0325	Тонизид, гранулы, 90 г	10	235	16		
0327	Уролизин, гранулы, 120 г	10	294	20		
0329	Флавигран, гранулы, 120 г	10	399	27		
0344	Флавигран-очанка, гранулы, 120 г	10	301	20		
0330	Флорента напиток, 200 мл	48	219	15		
0331	Флорента спрей, 50 мл	10	147	10		
0332	Ширлайн с лохеином, гранулы, 30 г	14	116	8		
0338	Ширлайн, гранулы, 120 г	10	237	16		
0334	Ширлайн, гранулы, 30 г	14	116	8		
0335	Экорсол, гранулы, 42 г	20	179	12		
0336	Экстракт корня лопуха, жидкость, 75 мл	10	667	45		
0339	Экстракт крапивы, жидкость, 75 мл	10	508	34		
0343	Экстракт подорожника, жидкость, 75 мл	10	469	32		
0394	Эсобел с экстрактом сабельника болотного, гранулы, 120 г	10	350	24		
0306	Эсобел-Арт, капсулы, 90 шт	5	1149	75		
	Компания "Nutricare Int."					
0442	L-Аргинин TSN, капсулы, 60 шт	5	563	35		
0421	Nutricare Пау Д'Арко, капсулы, 60 шт	5	548	34		
0401	Акулий хрящ, капсулы, 60 шт	5	614	38		
0435	Антиоксидант, капсулы, 60 шт	5	490	30		
0405	Ацидофилус-Экстра, капсулы, 60 шт	5	548	34		
0406	ВАГ, капсулы, 60 шт	5	548	34		
0408	Гинкго Билоба Плас, таблетки, 60 шт	5	579	36		
0409	Глюкозамин-Плас, таблетки, 60 шт	5	658	41		
0443	Гортензия TSN, капсулы, 60 шт	5	548	34		
0410	Готу Кола, капсулы, 60 шт	5	548	34		
0411	Донг Куэй, таблетки, 60 шт	5	548	34		
0437	Йохимбе, таблетки, 60 шт	5	614	38		
0413	Каль-ди-Маг, таблетки, 60 шт	5	563	35		
0444	Кофермент Q10 TSN, капсулы 60 шт	5	563	35		
0438	Коэнзим Q-10 Нутрикэа, таблетки, 60 шт	5	579	36		
0427	Красный клевер ТSN, капсулы, 60 шт	5	468	29		
0416	Ливер-Плас, капсулы, 60 шт	5	484	30		
0445	Люцерна TSN, капсулы, 60 шт	5	490	30		
0417	Малти-Комплекс, таблетки, 60 шт	5	614	38		
0446	Молозиво TSN, капсулы, 60 шт	5	548	34		
0439	Омега Ойл, капсулы, 60 шт	5	548	34		
0419	Остео Каль с глюкозамином, капсулы, 60 шт	5	579	36		
0420	Пара-Уолнат-Плас, капсулы, 60 шт	5	579	36		
0425	Проста-вита, капсулы, 60 шт	5	614	38		
0426	Пэшн Флауэр, таблетки, 60 шт	5	490	30		
0441	Спирулина TSN, капсулы, 60 шт	5	563	35		
0429	Супер Колон Клинз, капсулы, 60 шт	5	548	34		
0430	Суперлакс, капсулы, 60 шт	5	484	30		
0431	Тиро-Вита, капсулы, 60 шт	5	490	30		
0432	Уна дэ Гато, таблетки, 60 шт	5	548	34		
0447	Фукоксан, капсулы, 60 шт	5	490	30		
0433	Эхинацея Нутрикэа, капсулы, 60 шт	5	548	34		
	ООО "Дэльфа"					
0512	Кедровая сила – 2, порошок, 237 г	4	549	32		
0517	Кедровая сила "Боярская", порошок, 237 г	4	624	37		
0518	Кедровая сила "Спортивная", порошок, 237 г	4	591	35		
0511	Кедровая сила, порошок, 237 г	4	471	28		
0503	Масло кедровое "Долголетие", капсулы, 100 шт	12	196	12		
0504	Масло кедровое "Здравие", капсулы, 100 шт	12	216	13		
0513	Масло кедровое с боярышником, капсулы, 100 шт	12	270	16		
0506	Масло кедровое с калиной (с витамином Е), капсулы, 100 шт	12	270	16		
0505	Масло кедровое с провитамином А, капсулы, 100 шт	12	270	16		
0507	Масло кедровое, капсулы, 100 шт	12	275	17		
0508	Масло растительное "Богатырское", 200 мл	5	215	13		
0516	Масло растительное "Молодильное", 200 мл	5	219	13		
0510	Масло растительное "Целительное", 200 мл	5	265	16		
0520	Продукт белково-витаминный "Кедровые сливки с шоколадом", 237 г	4	797	48		
0521	Продукт белково-витаминный "Кедровые сливки", 237 г	4	797	48		
	ООО "ЮГ"					
0601	Бальзам "Альпийский аромат", 100 мл	6	192	12		
0602	Бальзам "Витаминный +", 100 мл	6	175	11		
0603	Бальзам "Казанова", 100 мл	6	190	12		
0604	Бальзам "Сибирячок", 100 мл	6	188	12		
0620	Гельмипаль, капсулы, 30 шт	6	223	14		
0618	Гепаль, капсулы, 30 шт	6	220	14		
0605	Драже "Арго-пан", 60 г	6	175	11		
0606	Драже "Кальцепан", 100 г	6	328	21		
0611	Драже "Пантошка", 80 г	6	170	11		
0607	Драже "Пантошка-A", 80 г	6	174	11		
0608	Драже "Пантошка-Ca", 80 г	6	181	11		
0609	Драже "Пантошка-Fe", 80 г	6	172	11		
0610	Драже "Пантошка-Йод", 80 г	6	176	11		
0621	Драже обогащенное "Ледипан", 60 г	6	224	14		
0622	Драже обогащенное профилактическое "Лонопан", 115 г	6	403	25		
0623	Драже с калиной "Помогуша", 80 г	6	157	10		
0624	Драже с облепихой "Помогуша", 80 г	6	157	10		
0625	Драже с прополисом "Помогуша", 80 г	6	157	10		
0612	Конфеты обогащенные пробиотические "Бифидопан", 70 г	6	241	15		
0613	Конфеты обогащенные пробиотические "Лактопан", 70 г	6	236	15		
